               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 134,            0.024918,            0.038082,           0.0012504,             0.95401,             0.95343,             0.96943,             0.69876,            0.024482,            0.036168,           0.0011924,           0.0062969,           0.0062969,           0.0062969
                 135,             0.02439,            0.036011,           0.0011751,              0.9495,             0.95232,             0.96535,             0.69792,            0.024445,            0.036424,           0.0011724,           0.0062505,           0.0062505,           0.0062505
                 136,            0.024742,            0.036242,           0.0012142,             0.95035,             0.95055,             0.96454,             0.69183,            0.024455,            0.036587,           0.0011688,            0.006204,            0.006204,            0.006204
                 137,             0.02481,            0.035314,           0.0011899,             0.95339,              0.9515,             0.96952,             0.69427,            0.024594,            0.036558,           0.0012094,           0.0061574,           0.0061574,           0.0061574
                 138,            0.024495,              0.0352,           0.0012074,             0.94778,             0.95555,             0.96813,             0.69907,            0.024314,            0.036558,           0.0011986,           0.0061107,           0.0061107,           0.0061107
                 139,            0.024351,             0.03592,           0.0011676,              0.9455,             0.95512,             0.96743,             0.69671,            0.024307,            0.036671,           0.0011804,            0.006064,            0.006064,            0.006064
                 140,            0.024196,            0.036432,            0.001262,             0.95503,             0.94553,             0.96711,              0.6972,            0.024437,            0.036876,           0.0011532,           0.0060172,           0.0060172,           0.0060172
                 141,            0.023992,            0.035258,           0.0010798,             0.95442,             0.94714,             0.96315,             0.69093,            0.024665,            0.036925,           0.0011659,           0.0059704,           0.0059704,           0.0059704
                 142,            0.024554,            0.035714,           0.0011088,             0.95358,             0.95153,             0.96652,              0.6974,            0.024494,            0.036361,           0.0011478,           0.0059235,           0.0059235,           0.0059235
                 143,            0.024901,            0.036645,            0.001221,             0.95621,             0.94705,             0.96876,              0.6982,            0.024517,            0.036799,           0.0011583,           0.0058766,           0.0058766,           0.0058766
                 144,            0.024229,            0.035336,           0.0011201,              0.9471,             0.95547,             0.96692,             0.69637,            0.024466,            0.036753,           0.0011527,           0.0058296,           0.0058296,           0.0058296
                 145,            0.024024,            0.035431,           0.0010926,              0.9466,             0.95299,             0.96819,             0.69808,            0.024524,            0.036767,           0.0011218,           0.0057826,           0.0057826,           0.0057826
                 146,            0.023936,            0.035248,           0.0010916,             0.95739,             0.94349,             0.96973,             0.69978,             0.02433,            0.036442,            0.001118,           0.0057355,           0.0057355,           0.0057355
                 147,            0.023817,            0.035122,           0.0010546,             0.95721,             0.94392,             0.96889,             0.69846,            0.024258,             0.03641,           0.0010947,           0.0056884,           0.0056884,           0.0056884
                 148,            0.024084,            0.034938,           0.0010878,             0.95295,             0.94241,             0.96463,             0.69917,            0.024242,            0.036988,           0.0010936,           0.0056413,           0.0056413,           0.0056413
                 149,            0.024642,            0.035993,           0.0011032,             0.94467,             0.95122,             0.96835,              0.6994,            0.024092,            0.036745,           0.0010723,           0.0055942,           0.0055942,           0.0055942
                 150,            0.024041,            0.035955,           0.0010979,              0.9498,             0.95068,             0.96684,             0.69595,            0.024193,            0.036676,           0.0010707,           0.0055471,           0.0055471,           0.0055471
                 151,            0.023768,            0.035036,           0.0010448,             0.95491,              0.9535,             0.96721,             0.69791,             0.02427,            0.036485,           0.0010702,              0.0055,              0.0055,              0.0055
                 152,            0.024146,            0.035678,           0.0011159,             0.94921,             0.95273,             0.96773,             0.69685,            0.024309,            0.036871,           0.0011006,           0.0054529,           0.0054529,           0.0054529
